cy_young_award_winners,,,,
,Name,League,Tm,Year
1,Shane Bieber,AL,CLE,2020
2,Trevor Bauer,NL,CIN,2020
3,Justin Verlander,AL,HOU,2019
4,Jacob deGrom,NL,NYM,2019
5,Blake Snell,AL,TBR,2018
6,Jacob deGrom,NL,NYM,2018
7,Corey Kluber,AL,CLE,2017
8,Max Scherzer,NL,WSN,2017
9,Rick Porcello,AL,BOS,2016
10,Max Scherzer,NL,WSN,2016
11,Dallas Keuchel,AL,HOU,2015
12,Jake Arrieta,NL,CHC,2015
13,Corey Kluber,AL,CLE,2014
14,Clayton Kershaw,NL,LAD,2014
15,Max Scherzer,AL,DET,2013
16,Clayton Kershaw,NL,LAD,2013
17,David Price,AL,TBR,2012
18,R. A. Dickey,NL,NYM,2012
